INFO:root:{'WORK_PATH': './work/cnn_silhouette', 'CUDA_VISIBLE_DEVICES': '0,1,2,3', 'dataset': 'CASIA-B', 'model': {'model_cfg': {'hidden_dim': 128, 'out_channels': 128}, 'lr': 0.0001, 'margin': 0.2, 'frame_num': 30, 'frame_num_min': 15, 'num_workers': 24, 'restore_iter': 0, 'hard_or_full_trip': 'full', 'batch_size': (8, 16), 'milestones': [70000], 'total_iter': 80000, 'model_name': 'gaitgl_casia-b'}, 'data': {'data_type': 'silhouettes', 'CASIA-B': {'resolution': '64', 'pid_num': 73, 'pid_shuffle': False, 'data_path': ['/home/pengyunjie/data/casia-b/silhouettes64/']}, 'OUMVLP': {'resolution': '64', 'pid_num': 5153, 'pid_shuffle': False, 'data_path': ['/data_1/pengyunjie/dataset/ou-mvlp/silhouettes/']}}}
INFO:root:Initialzing...
INFO:root:Initializing data source...
INFO:root:dataset:CASIA-B, data_type:silhouettes, data_path:['/home/pengyunjie/data/casia-b/silhouettes64/'], cache:False
INFO:root:pid_train:['001', '002', '003', '004', '006', '007', '008', '009', '010', '011', '012', '013', '014', '015', '016', '017', '018', '019', '020', '021', '022', '023', '024', '025', '026', '027', '028', '029', '030', '031', '032', '033', '034', '035', '036', '037', '038', '039', '040', '041', '042', '043', '044', '045', '046', '047', '048', '049', '050', '051', '052', '053', '054', '055', '056', '057', '058', '059', '060', '061', '062', '063', '064', '065', '066', '067', '068', '069', '070', '071', '072', '073', '074']
pid_test:['075', '076', '077', '078', '079', '080', '081', '082', '083', '084', '085', '086', '087', '088', '089', '090', '091', '092', '093', '094', '095', '096', '097', '098', '099', '100', '101', '102', '103', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '115', '116', '117', '118', '119', '120', '121', '122', '123', '124']
INFO:root:len(pid_train):73, len(pid_test):50
INFO:root:Data initialization complete.
INFO:root:Initializing model...
INFO:root:Model initialization complete.
INFO:root:Training START
INFO:root:iter 2400:, hard_loss_metric=1.26945484, full_loss_metric=0.44947225, full_loss_num=31524.63476562, mean_dist=4.06782246, lr=0.000100, hard or full='full', softmax_loss=3.94767570
INFO:root:iter 2500:, hard_loss_metric=1.31958497, full_loss_metric=0.47223839, full_loss_num=30087.14453125, mean_dist=4.39235067, lr=0.000100, hard or full='full', softmax_loss=3.88552547
INFO:root:iter 2600:, hard_loss_metric=1.39992678, full_loss_metric=0.50932825, full_loss_num=28156.20312500, mean_dist=4.81942225, lr=0.000100, hard or full='full', softmax_loss=3.81836224
INFO:root:iter 2700:, hard_loss_metric=1.48423171, full_loss_metric=0.54066551, full_loss_num=27436.99804688, mean_dist=5.19251728, lr=0.000100, hard or full='full', softmax_loss=3.76550913
INFO:root:iter 2800:, hard_loss_metric=1.56069291, full_loss_metric=0.57134008, full_loss_num=26417.80078125, mean_dist=5.59241819, lr=0.000100, hard or full='full', softmax_loss=3.69971156
INFO:root:iter 2900:, hard_loss_metric=1.62077272, full_loss_metric=0.59889424, full_loss_num=25640.39257812, mean_dist=5.96095896, lr=0.000100, hard or full='full', softmax_loss=3.63767600
INFO:root:iter 3000:, hard_loss_metric=1.70594084, full_loss_metric=0.63486159, full_loss_num=24943.97656250, mean_dist=6.41883278, lr=0.000100, hard or full='full', softmax_loss=3.54710793
INFO:root:iter 3100:, hard_loss_metric=1.78435802, full_loss_metric=0.66842580, full_loss_num=24339.89257812, mean_dist=6.81027174, lr=0.000100, hard or full='full', softmax_loss=3.48310375
INFO:root:iter 3200:, hard_loss_metric=1.86873591, full_loss_metric=0.69919717, full_loss_num=23197.21679688, mean_dist=7.24262047, lr=0.000100, hard or full='full', softmax_loss=3.40453815
INFO:root:iter 3300:, hard_loss_metric=1.92389750, full_loss_metric=0.72802359, full_loss_num=22678.39062500, mean_dist=7.63454342, lr=0.000100, hard or full='full', softmax_loss=3.32723784
INFO:root:iter 3400:, hard_loss_metric=1.94948268, full_loss_metric=0.74029303, full_loss_num=21728.92578125, mean_dist=7.86579752, lr=0.000100, hard or full='full', softmax_loss=3.27184939
INFO:root:iter 3500:, hard_loss_metric=2.02835202, full_loss_metric=0.77630943, full_loss_num=21089.90820312, mean_dist=8.32593060, lr=0.000100, hard or full='full', softmax_loss=3.18381429
INFO:root:iter 3600:, hard_loss_metric=2.09246969, full_loss_metric=0.79449165, full_loss_num=21165.08593750, mean_dist=8.61249542, lr=0.000100, hard or full='full', softmax_loss=3.12803984
INFO:root:iter 3700:, hard_loss_metric=2.10749507, full_loss_metric=0.81776398, full_loss_num=19795.59179688, mean_dist=9.01426983, lr=0.000100, hard or full='full', softmax_loss=3.04026103
INFO:root:iter 3800:, hard_loss_metric=2.15288305, full_loss_metric=0.83643228, full_loss_num=19806.49414062, mean_dist=9.27412415, lr=0.000100, hard or full='full', softmax_loss=2.96996975
INFO:root:iter 3900:, hard_loss_metric=2.19229198, full_loss_metric=0.85462278, full_loss_num=19004.74218750, mean_dist=9.63249683, lr=0.000100, hard or full='full', softmax_loss=2.89753056
INFO:root:0:14:37.772521
INFO:root:iter 4000:, hard_loss_metric=2.23646784, full_loss_metric=0.87163383, full_loss_num=19023.27343750, mean_dist=9.82834244, lr=0.000100, hard or full='full', softmax_loss=2.83240271
INFO:root:iter 4100:, hard_loss_metric=2.26953745, full_loss_metric=0.89261937, full_loss_num=18352.17187500, mean_dist=10.10612392, lr=0.000100, hard or full='full', softmax_loss=2.77205181
INFO:root:iter 4200:, hard_loss_metric=2.33015800, full_loss_metric=0.89939696, full_loss_num=19264.12304688, mean_dist=10.17033291, lr=0.000100, hard or full='full', softmax_loss=2.72881651
INFO:root:iter 4300:, hard_loss_metric=2.31427860, full_loss_metric=0.91794401, full_loss_num=18140.44726562, mean_dist=10.53997040, lr=0.000100, hard or full='full', softmax_loss=2.65876412
INFO:root:iter 4400:, hard_loss_metric=2.35301256, full_loss_metric=0.92525983, full_loss_num=18147.04687500, mean_dist=10.70349884, lr=0.000100, hard or full='full', softmax_loss=2.60843301
INFO:root:iter 4500:, hard_loss_metric=2.37040401, full_loss_metric=0.94091964, full_loss_num=17645.45312500, mean_dist=10.92919159, lr=0.000100, hard or full='full', softmax_loss=2.55409551
INFO:root:iter 4600:, hard_loss_metric=2.38403893, full_loss_metric=0.94859552, full_loss_num=17278.43750000, mean_dist=11.15971279, lr=0.000100, hard or full='full', softmax_loss=2.48119998
INFO:root:iter 4700:, hard_loss_metric=2.45749307, full_loss_metric=0.96692413, full_loss_num=17264.13085938, mean_dist=11.38608170, lr=0.000100, hard or full='full', softmax_loss=2.43795276
INFO:root:iter 4800:, hard_loss_metric=2.47221541, full_loss_metric=0.97479904, full_loss_num=17550.85937500, mean_dist=11.46716690, lr=0.000100, hard or full='full', softmax_loss=2.39532924
INFO:root:iter 4900:, hard_loss_metric=2.49879050, full_loss_metric=0.98782992, full_loss_num=17361.63476562, mean_dist=11.67079449, lr=0.000100, hard or full='full', softmax_loss=2.35920382
INFO:root:iter 5000:, hard_loss_metric=2.40234828, full_loss_metric=0.98421204, full_loss_num=15558.12109375, mean_dist=12.02537441, lr=0.000100, hard or full='full', softmax_loss=2.25462985
INFO:root:iter 5100:, hard_loss_metric=2.52256703, full_loss_metric=1.00477993, full_loss_num=16636.66015625, mean_dist=12.08755875, lr=0.000100, hard or full='full', softmax_loss=2.24386740
INFO:root:iter 5200:, hard_loss_metric=2.49385190, full_loss_metric=1.00621045, full_loss_num=15922.77539062, mean_dist=12.22441769, lr=0.000100, hard or full='full', softmax_loss=2.19554567
INFO:root:iter 5300:, hard_loss_metric=2.57921195, full_loss_metric=1.03082371, full_loss_num=16168.23730469, mean_dist=12.41465473, lr=0.000100, hard or full='full', softmax_loss=2.15423894
INFO:root:iter 5400:, hard_loss_metric=2.56857872, full_loss_metric=1.02469325, full_loss_num=16436.46093750, mean_dist=12.45783234, lr=0.000100, hard or full='full', softmax_loss=2.13376546
INFO:root:iter 5500:, hard_loss_metric=2.51803613, full_loss_metric=1.02770698, full_loss_num=15105.83886719, mean_dist=12.72421646, lr=0.000100, hard or full='full', softmax_loss=2.06417942
INFO:root:iter 5600:, hard_loss_metric=2.53883266, full_loss_metric=1.03417242, full_loss_num=15434.04296875, mean_dist=12.78117466, lr=0.000100, hard or full='full', softmax_loss=2.03368235
INFO:root:iter 5700:, hard_loss_metric=2.56907868, full_loss_metric=1.03674769, full_loss_num=15448.38085938, mean_dist=12.86342049, lr=0.000100, hard or full='full', softmax_loss=2.01214480
INFO:root:iter 5800:, hard_loss_metric=2.56950736, full_loss_metric=1.04235852, full_loss_num=15366.87109375, mean_dist=12.97931004, lr=0.000100, hard or full='full', softmax_loss=1.98058820
INFO:root:iter 5900:, hard_loss_metric=2.58277535, full_loss_metric=1.05373001, full_loss_num=14757.07031250, mean_dist=13.23949718, lr=0.000100, hard or full='full', softmax_loss=1.91690171
INFO:root:0:14:24.666296
INFO:root:iter 6000:, hard_loss_metric=2.56859136, full_loss_metric=1.05629206, full_loss_num=14518.80761719, mean_dist=13.27511597, lr=0.000100, hard or full='full', softmax_loss=1.89905608
INFO:root:iter 6100:, hard_loss_metric=2.60125589, full_loss_metric=1.06685460, full_loss_num=14721.90527344, mean_dist=13.42473412, lr=0.000100, hard or full='full', softmax_loss=1.86050916
INFO:root:iter 6200:, hard_loss_metric=2.53623796, full_loss_metric=1.05836916, full_loss_num=13861.62500000, mean_dist=13.58381081, lr=0.000100, hard or full='full', softmax_loss=1.81738222
INFO:root:iter 6300:, hard_loss_metric=2.63668513, full_loss_metric=1.07299018, full_loss_num=14710.42285156, mean_dist=13.55241966, lr=0.000100, hard or full='full', softmax_loss=1.82096446
INFO:root:iter 6400:, hard_loss_metric=2.59040523, full_loss_metric=1.07805812, full_loss_num=14055.15039062, mean_dist=13.79215622, lr=0.000100, hard or full='full', softmax_loss=1.76797068
INFO:root:iter 6500:, hard_loss_metric=2.65581942, full_loss_metric=1.08434021, full_loss_num=14519.64453125, mean_dist=13.78457260, lr=0.000100, hard or full='full', softmax_loss=1.75666273
